Gene_set	Z_score(n-LEGO)	P_value(n-LEGO)	Z_score(e-LEGO)	P_value(e-LEGO)	gsSize	gsSize_net	intSize	intSize_net	overlapSize	InterestingGeneListID
119	-0.305203	0.619904	-2.099144	1.000000	23	18	170	151	0	1
120	-0.326574	0.628017	-0.409849	0.659067	23	22	170	151	0	1
121	-0.290157	0.614161	-1.390844	0.922816	15	14	170	151	0	1
122	0.078948	0.468537	-0.896540	0.815580	18	17	170	151	1	1
123	-0.236439	0.593459	0.289610	0.386057	29	23	170	151	0	1
124	-0.356440	0.639260	-0.067655	0.526970	56	51	170	151	0	1
125	0.851683	0.197195	-1.400841	0.924513	24	17	170	151	1	1
126	-0.255435	0.600812	-1.145474	0.875816	23	18	170	151	0	1
127	-0.297211	0.616856	1.079419	0.140201	24	17	170	151	0	1
128	-0.245914	0.597131	-0.877104	0.810294	17	17	170	151	0	1
129	-0.257095	0.601453	-1.676953	0.966954	15	15	170	151	0	1
130	1.609332	0.053772	-0.479137	0.684123	15	12	170	151	1	1
131	4.707798	0.000001	-0.633905	0.737055	13	11	170	151	1	1
132	-0.359745	0.640497	-1.161828	0.879304	40	33	170	151	0	1
133	-0.247096	0.597588	0.858151	0.195404	16	15	170	151	0	1
134	-0.192114	0.576176	-1.115025	0.869174	32	28	170	151	2	1
135	1.073595	0.141502	0.352416	0.362263	20	13	170	151	1	1
136	-0.292446	0.615036	-0.013649	0.505445	23	21	170	151	0	1
137	-0.227564	0.590012	0.012121	0.495164	12	11	170	151	0	1
138	-0.225495	0.589207	0.769151	0.220902	27	23	170	151	1	1
139	-0.201305	0.579773	-1.153845	0.877608	11	9	170	151	0	1
140	-0.324055	0.627064	2.365761	0.008997	31	25	170	151	0	1
141	-0.290215	0.614183	2.274991	0.011453	14	13	170	151	0	1
142	-0.247912	0.597904	-0.753022	0.774540	14	12	170	151	0	1
143	-0.464501	0.678894	-2.512872	1.000000	28	25	170	151	0	1
144	-0.119793	0.547677	-0.310676	0.621987	15	12	170	151	1	1
145	-0.271252	0.606908	-0.894886	0.815134	18	16	170	151	0	1
146	-0.245348	0.596912	-2.339376	1.000000	12	11	170	151	0	1
147	-0.245627	0.597020	-0.978947	0.837045	23	22	170	151	0	1
148	-0.242562	0.595833	-1.361216	0.917696	23	20	170	151	0	1
149	-0.304345	0.619577	-1.363893	0.918164	20	17	170	151	0	1
150	-0.175448	0.569639	5.041266	0.000000	13	11	170	151	1	1
151	-0.409914	0.659091	-1.550887	0.948442	42	39	170	151	0	1
152	0.016143	0.493560	-0.156904	0.562342	26	25	170	151	1	1
153	-0.276230	0.608822	0.084588	0.466294	17	17	170	151	0	1
154	-0.220503	0.587264	-2.549477	1.000000	11	9	170	151	0	1
155	-0.324460	0.627217	-1.436423	0.930439	24	19	170	151	0	1
156	-0.281169	0.610718	-0.683529	0.753036	15	11	170	151	0	1
157	-0.230381	0.591107	1.007480	0.156852	13	11	170	151	0	1
158	-0.310426	0.621892	0.639749	0.261168	26	19	170	151	0	1
159	-0.198317	0.578605	-0.634915	0.737385	17	13	170	151	0	1
160	0.285049	0.387803	-0.033920	0.513530	14	14	170	151	1	1
161	-0.228043	0.590198	-1.068271	0.858592	11	10	170	151	0	1
162	-0.314001	0.623251	-0.995589	0.841194	32	25	170	151	0	1
163	-0.210241	0.583264	-0.581404	0.719605	12	10	170	151	0	1
164	-0.316535	0.624213	2.895831	0.001891	21	19	170	151	0	1
165	5.136232	0.000000	1.921069	0.027361	18	15	170	151	2	1
166	-0.246237	0.597256	-0.588255	0.721913	22	21	170	151	0	1
167	-0.255797	0.600952	-0.867563	0.807667	18	16	170	151	0	1
168	-0.244245	0.596485	-1.642575	0.961995	19	15	170	151	0	1
169	-0.255099	0.600683	-0.524566	0.700118	23	14	170	151	0	1
170	-0.261869	0.603295	-1.289736	0.904762	21	16	170	151	0	1
171	-0.252471	0.599667	0.152605	0.439355	16	15	170	151	0	1
172	-0.257124	0.601465	-1.917292	1.000000	13	12	170	151	0	1
173	-0.290373	0.614243	-1.179863	0.883087	16	14	170	151	0	1
174	-0.129030	0.551334	4.704112	0.000001	10	7	170	151	1	1
175	-0.231359	0.591487	0.026884	0.489276	12	11	170	151	0	1
176	-0.269789	0.606346	-0.764366	0.777951	21	17	170	151	0	1
177	-0.241689	0.595494	0.174007	0.430930	15	13	170	151	0	1
178	-0.259658	0.602442	-0.895006	0.815166	29	27	170	151	0	1
179	-0.154807	0.561515	-1.392270	0.923059	33	26	170	151	1	1
180	-0.243846	0.596330	-0.885809	0.812672	37	33	170	151	1	1
181	-0.285389	0.612335	0.519730	0.301626	37	31	170	151	1	1
182	-0.270124	0.606475	-1.989213	1.000000	20	18	170	151	0	1
183	-0.241099	0.595266	-0.696569	0.757150	10	9	170	151	0	1
184	-0.278854	0.609829	0.255020	0.399354	16	15	170	151	0	1
185	-0.132608	0.552750	4.273479	0.000010	11	10	170	151	1	1
186	-0.033265	0.513269	-0.228727	0.590464	18	17	170	151	1	1
187	-0.217289	0.586012	0.968729	0.166340	10	10	170	151	0	1
188	-0.256720	0.601308	0.386558	0.349542	19	18	170	151	1	1
189	-0.237444	0.593849	0.726374	0.233805	15	12	170	151	0	1
190	-0.351569	0.637435	-0.837635	0.799295	49	40	170	151	1	1
191	-0.286637	0.612813	-0.998203	0.841840	14	12	170	151	0	1
192	-0.284179	0.611871	-0.995542	0.841182	14	12	170	151	0	1
193	-0.246014	0.597170	-0.775130	0.781162	15	13	170	151	0	1
194	-0.289619	0.613955	-0.833552	0.798138	18	17	170	151	0	1
195	-0.287554	0.613164	1.710292	0.043606	19	15	170	151	0	1
196	-0.245431	0.596944	-0.901106	0.816810	19	18	170	151	0	1
197	1.170597	0.120880	-1.515370	0.943010	17	16	170	151	1	1
198	-0.253209	0.599952	-1.770696	0.980359	8	7	170	151	0	1
199	-0.283623	0.611658	-0.907918	0.818636	21	17	170	151	0	1
200	-0.233611	0.592361	-0.912582	0.819879	15	11	170	151	0	1
201	-0.206192	0.581683	-0.574146	0.717151	10	9	170	151	0	1
202	-0.382612	0.649016	2.552915	0.005341	37	28	170	151	0	1
203	-0.194701	0.577190	-1.340465	0.914029	25	23	170	151	1	1
204	-0.132535	0.552721	-1.156997	0.878279	29	24	170	151	1	1
205	-0.242583	0.595841	-1.265003	0.900081	18	15	170	151	0	1
206	-0.121827	0.548483	-1.343329	0.914539	37	33	170	151	1	1
207	-0.266851	0.605215	-1.021533	0.847539	24	22	170	151	1	1
