Gene_set	Z_score(n-LEGO)	P_value(n-LEGO)	Z_score(e-LEGO)	P_value(e-LEGO)	gsSize	gsSize_net	intSize	intSize_net	overlapSize
412	-0.283995	0.611801	-1.137357	0.874064	40	31	170	151	0
413	-0.298039	0.617173	-1.842656	0.990755	22	20	170	151	0
414	-0.605211	0.727586	-1.991627	1.000000	74	43	170	151	0
415	-0.396021	0.653978	7.526593	0.000000	31	19	170	151	0
416	-0.309635	0.621591	-1.278102	0.902574	14	12	170	151	0
417	-0.243509	0.596200	-0.215438	0.585291	10	9	170	151	0
418	-0.224341	0.588758	2.153751	0.015630	19	16	170	151	0
419	-0.316725	0.624285	-0.605382	0.727642	27	24	170	151	0
420	-0.247516	0.597751	-0.618305	0.731927	15	15	170	151	0
421	-0.210688	0.583438	-0.547726	0.708131	11	8	170	151	0
422	-0.341394	0.633610	-0.470251	0.680953	113	91	170	151	4
423	-0.587284	0.721587	-2.454678	1.000000	65	58	170	151	0
424	-0.563746	0.713616	-0.364423	0.642246	49	44	170	151	0
425	-0.240864	0.595175	-0.569581	0.715602	10	10	170	151	0
426	-0.252281	0.599594	-0.630699	0.736005	19	19	170	151	0
427	-0.241300	0.595344	-0.502013	0.692222	35	32	170	151	0
428	-0.231553	0.591562	-0.496843	0.690400	10	9	170	151	0
429	-0.592091	0.723201	0.263087	0.396242	217	181	170	151	3
430	-0.308962	0.621335	-1.907563	1.000000	16	16	170	151	0
431	-0.346368	0.635481	-1.128309	0.872096	23	17	170	151	0
432	-0.238575	0.594287	-2.526332	1.000000	10	7	170	151	0
433	-0.212080	0.583981	-1.881598	0.996511	10	7	170	151	0
434	-0.303644	0.619310	-0.856042	0.804468	78	62	170	151	3
435	3.009625	0.001308	0.649265	0.258084	396	329	170	151	13
436	-0.555831	0.710912	-2.407623	1.000000	48	44	170	151	0
437	-0.324577	0.627261	1.143187	0.126480	18	15	170	151	0
438	-0.281523	0.610853	1.213904	0.112392	32	28	170	151	0
439	-0.207689	0.582268	-1.379938	0.920947	14	12	170	151	1
440	-0.890731	0.814009	-1.923011	1.000000	141	118	170	151	0
441	0.037927	0.484873	-1.161083	0.879146	36	32	170	151	1
442	-0.587176	0.721551	-2.494600	1.000000	76	69	170	151	0
443	-0.266760	0.605180	-1.284991	0.903872	24	21	170	151	0
444	-0.224096	0.588663	-1.166466	0.880283	74	64	170	151	2
445	2.214604	0.013394	1.627807	0.051783	120	108	170	151	6
446	2.196822	0.014017	-1.070024	0.858997	18	12	170	151	2
447	-0.226962	0.589778	-1.551787	0.948578	9	8	170	151	0
448	-0.205246	0.581313	-0.308006	0.620971	13	10	170	151	0
449	-0.576015	0.717784	-2.502099	1.000000	61	55	170	151	0
450	-0.544155	0.706902	2.111948	0.017345	116	69	170	151	0
451	-0.148348	0.558967	-0.551706	0.709498	37	29	170	151	3
452	-0.340363	0.633222	5.419582	0.000000	25	18	170	151	1
453	0.375136	0.353780	-0.505639	0.693498	17	14	170	151	1
454	-0.565065	0.714066	-1.690361	0.968877	129	112	170	151	0
455	-0.286777	0.612867	-1.451978	0.932976	21	16	170	151	0
456	-0.384525	0.649726	-1.250542	0.897292	70	54	170	151	0
457	-0.302528	0.618885	-1.373876	0.919900	19	17	170	151	0
458	-0.235953	0.593270	-1.847773	0.991505	11	10	170	151	0
459	-0.265946	0.604866	-0.391993	0.652490	19	16	170	151	0
460	-0.111047	0.544211	-1.632067	0.960469	51	43	170	151	1
461	-0.351689	0.637479	-1.558766	0.949632	60	52	170	151	0
462	-0.262625	0.603587	-0.350150	0.636902	17	15	170	151	0
463	-0.214993	0.585117	2.122978	0.016878	17	14	170	151	0
464	-0.242384	0.595764	-0.713617	0.762474	11	10	170	151	0
465	-0.255674	0.600905	-0.961376	0.832597	11	11	170	151	0
466	1.357611	0.087294	4.627295	0.000002	421	320	170	151	5
467	-0.373074	0.645472	-1.093728	0.864412	90	67	170	151	2
468	-0.561814	0.712957	-2.105802	1.000000	67	53	170	151	0
469	-0.336038	0.631592	-0.414020	0.660596	59	41	170	151	0
470	-0.171879	0.568236	-2.046515	1.000000	24	20	170	151	1
471	-0.232389	0.591887	-0.969628	0.834695	12	11	170	151	0
472	-0.534263	0.703485	-1.018755	0.846866	66	61	170	151	0
473	-0.225245	0.589110	-1.383692	0.921592	14	10	170	151	0
474	-0.435994	0.668610	0.793389	0.213776	101	81	170	151	2
475	-0.196696	0.577970	-1.530881	0.945397	31	22	170	151	1
476	-0.272013	0.607201	-0.427195	0.665410	24	12	170	151	0
477	-0.299539	0.617745	-0.274056	0.607986	51	19	170	151	0
478	-0.217502	0.586095	-1.328781	0.911933	18	16	170	151	0
479	-0.263571	0.603951	-1.634431	0.960813	22	18	170	151	1
480	-0.472622	0.681800	0.234298	0.407377	109	89	170	151	3
481	-0.207912	0.582355	-1.318507	0.910072	10	9	170	151	0
482	-0.609009	0.728848	-1.178224	0.882746	42	13	170	151	0
483	-0.890828	0.814036	-2.010294	1.000000	179	100	170	151	0
484	-0.137071	0.554514	-0.638350	0.738507	38	27	170	151	1
485	-0.229569	0.590791	-2.020178	1.000000	20	16	170	151	1
486	-0.280499	0.610461	-0.188472	0.574749	44	33	170	151	1
487	-0.277263	0.609218	-0.970573	0.834934	38	29	170	151	0
488	-0.306740	0.620489	-1.190705	0.885329	38	33	170	151	0
489	-0.456652	0.676076	-0.392550	0.652696	104	88	170	151	0
490	-0.209737	0.583067	5.863298	0.000000	14	7	170	151	0
491	-0.243700	0.596274	-1.037182	0.851293	18	16	170	151	0
492	-0.222139	0.587901	-1.271350	0.901293	29	24	170	151	1
493	-0.297853	0.617102	0.088166	0.464872	29	27	170	151	0
494	-0.520405	0.698668	-1.954230	1.000000	58	43	170	151	0
495	5.844060	0.000000	-0.511387	0.695515	22	14	170	151	1
496	-0.217270	0.586005	-1.435000	0.930206	27	24	170	151	0
497	-0.253906	0.600222	-0.997381	0.841637	14	11	170	151	0
498	-0.217116	0.585945	-1.204633	0.888176	12	12	170	151	0
499	-0.567880	0.715024	-2.442451	1.000000	97	74	170	151	1
500	-0.560653	0.712561	-2.485944	1.000000	64	52	170	151	0
501	-0.271112	0.606855	-1.370830	0.919372	24	21	170	151	0
502	-0.304290	0.619556	-1.046026	0.853391	29	23	170	151	0
503	-0.188956	0.574939	-0.091189	0.536329	14	12	170	151	0
504	-0.230524	0.591162	-1.174899	0.882052	24	21	170	151	0
505	-0.215564	0.585340	-1.225440	0.892357	12	11	170	151	0
506	-0.230620	0.591200	-1.211082	0.889481	44	34	170	151	1
507	-0.618837	0.732103	-2.423103	1.000000	126	97	170	151	1
508	-0.121873	0.548501	0.387022	0.349370	87	81	170	151	2
509	-0.284342	0.611934	-1.581121	0.952978	46	38	170	151	0
510	-0.281526	0.610854	-1.359824	0.917453	23	20	170	151	0
511	-0.263406	0.603888	-0.934311	0.825609	16	11	170	151	0
512	-0.365510	0.642652	-1.685109	0.968124	70	60	170	151	0
513	-0.215990	0.585506	-1.204469	0.888143	12	12	170	151	0
514	-0.282713	0.611310	-1.142389	0.875152	38	33	170	151	0
515	-0.404750	0.657194	-1.072041	0.859463	87	71	170	151	3
516	-0.255382	0.600792	-1.893121	0.998240	17	13	170	151	1
517	-0.263069	0.603758	-1.757106	0.978415	19	15	170	151	1
518	-0.292874	0.615200	-1.522516	0.944113	27	23	170	151	1
519	6.624609	0.000000	3.701678	0.000107	23	19	170	151	2
520	2.153928	0.015623	-0.741450	0.771032	91	72	170	151	2
521	-0.521805	0.699156	0.098298	0.460848	137	114	170	151	2
522	-0.335138	0.631253	-1.386188	0.922020	36	31	170	151	1
523	-0.188696	0.574837	-1.655233	0.963826	13	11	170	151	0
524	-0.370901	0.644662	-0.638949	0.738702	15	14	170	151	0
525	-0.235251	0.592998	-0.344042	0.634607	16	11	170	151	0
526	-0.211101	0.583600	-2.402399	1.000000	23	17	170	151	0
527	0.006138	0.497551	0.516925	0.302604	58	54	170	151	2
528	-0.270826	0.606745	-0.769442	0.779469	27	22	170	151	0
529	-0.430693	0.666684	0.361370	0.358911	127	98	170	151	5
530	-0.316074	0.624038	0.378505	0.352528	20	19	170	151	0
531	-0.177572	0.570473	-2.093257	1.000000	12	9	170	151	0
532	-0.216496	0.585703	-1.783506	0.982195	15	12	170	151	1
533	-0.553610	0.710151	-2.374906	1.000000	51	44	170	151	0
534	-0.243151	0.596061	-0.823258	0.795202	25	21	170	151	0
535	-0.427328	0.665459	-0.607145	0.728229	22	21	170	151	0
536	-0.263078	0.603761	-1.837271	0.989968	17	14	170	151	0
537	-0.231934	0.591710	-2.361708	1.000000	26	20	170	151	0
538	2.254064	0.012096	2.118215	0.017078	16	11	170	151	1
539	-0.488884	0.687585	-1.151647	0.877139	198	165	170	151	1
540	-0.251290	0.599211	-0.663074	0.746510	12	11	170	151	0
541	-0.219478	0.586865	-0.715622	0.763096	27	24	170	151	0
542	-0.219567	0.586900	-1.538701	0.946592	18	15	170	151	0
543	-0.175012	0.569467	-2.158804	1.000000	10	8	170	151	0
544	-0.314176	0.623317	-0.679812	0.751856	11	8	170	151	0
545	-0.397159	0.654398	1.257187	0.104343	205	167	170	151	4
546	-0.235736	0.593186	-0.118175	0.547036	21	16	170	151	0
547	0.042236	0.483155	-1.318607	0.910090	10	7	170	151	1
548	-0.230824	0.591279	-1.102294	0.866339	30	24	170	151	1
549	-0.255152	0.600703	-0.809946	0.791370	31	22	170	151	0
550	-0.327618	0.628412	-0.702590	0.759037	12	9	170	151	0
551	0.850388	0.197555	-1.405156	0.925241	38	32	170	151	1
552	0.050626	0.479812	-1.131904	0.872880	14	11	170	151	1
553	2.212640	0.013461	-2.004551	1.000000	20	17	170	151	1
554	1.227420	0.109832	4.301865	0.000008	26	24	170	151	1
555	-0.271327	0.606937	-0.191466	0.575922	12	12	170	151	0
556	-0.255897	0.600991	-1.487108	0.938594	19	15	170	151	0
557	-0.238846	0.594392	-1.001525	0.842659	12	9	170	151	0
558	0.909701	0.181490	3.011722	0.001299	11	9	170	151	1
559	-0.320229	0.625614	-1.590608	0.954386	48	37	170	151	0
560	0.325418	0.372432	-0.475125	0.682693	10	9	170	151	1
561	-0.349094	0.636505	0.770787	0.220416	49	43	170	151	0
562	-0.368940	0.643932	-1.120388	0.870358	33	24	170	151	0
563	-0.188103	0.574605	-0.470185	0.680929	18	16	170	151	0
564	-0.303079	0.619095	0.716712	0.236776	31	29	170	151	0
565	2.862518	0.002102	1.687472	0.045756	11	8	170	151	1
566	1.137461	0.127673	3.255514	0.000566	30	27	170	151	1
567	-0.237364	0.593818	-0.656223	0.744305	13	11	170	151	0
568	-0.226838	0.589729	3.334426	0.000427	11	9	170	151	0
569	-0.380106	0.648086	0.986768	0.161878	52	47	170	151	0
570	-0.210739	0.583458	0.518664	0.301998	111	97	170	151	2
571	-0.323651	0.626911	-1.565288	0.950612	16	15	170	151	0
572	-0.438359	0.669469	-0.503276	0.692667	21	20	170	151	0
573	-0.370901	0.644662	-0.418846	0.662363	15	14	170	151	0
574	-0.248291	0.598051	-1.335059	0.913062	44	33	170	151	1
575	-0.571645	0.716303	-1.285778	0.904020	91	76	170	151	0
576	-0.317720	0.624663	-0.633591	0.736952	82	74	170	151	0
577	-0.248201	0.598016	1.383014	0.083330	25	23	170	151	0
578	-0.554432	0.710433	-2.426335	1.000000	48	42	170	151	0
579	-0.220242	0.587163	2.539291	0.005554	12	11	170	151	0
580	4.464033	0.000004	3.100631	0.000966	10	7	170	151	1
581	0.176790	0.429837	-0.952056	0.830209	20	16	170	151	1
582	-0.320429	0.625690	-1.690922	0.968958	23	18	170	151	0
583	-0.255892	0.600989	-1.334720	0.913001	24	23	170	151	0
584	-0.261424	0.603124	-0.569569	0.715598	13	12	170	151	0
585	-0.255319	0.600768	-1.982118	1.000000	12	12	170	151	0
586	-0.186882	0.574126	-0.785359	0.784189	9	6	170	151	0
587	-0.195661	0.577565	-0.693409	0.756156	38	27	170	151	1
588	-0.331103	0.629729	-1.768298	0.980016	26	21	170	151	0
589	-0.310260	0.621829	-0.948696	0.829344	25	22	170	151	1
590	-0.860459	0.805698	-1.243212	0.895863	140	105	170	151	0
591	-0.223291	0.588350	0.154930	0.438438	10	7	170	151	0
592	-0.404292	0.657025	-1.201556	0.887550	54	46	170	151	0
593	-0.254425	0.600422	-1.863510	0.993823	13	11	170	151	0
594	-0.390087	0.651785	-0.953934	0.830692	37	30	170	151	0
595	3.790494	0.000075	2.328014	0.009956	30	23	170	151	1
596	-0.188568	0.574787	-0.885779	0.812664	12	9	170	151	0
597	-0.258291	0.601915	-0.220845	0.587397	38	28	170	151	1
598	-0.244756	0.596683	-1.789845	0.983105	15	12	170	151	1
599	-0.641217	0.739441	-2.032086	1.000000	84	50	170	151	0
600	-0.340666	0.633336	-0.745143	0.772155	16	16	170	151	0
601	-0.225954	0.589386	0.062424	0.475113	15	13	170	151	0
602	-0.330069	0.629339	-0.740929	0.770873	14	14	170	151	0
603	-0.269255	0.606140	-1.130791	0.872637	21	20	170	151	0
604	-0.227708	0.590068	-1.451527	0.932903	17	14	170	151	1
605	-0.376948	0.646913	-1.065773	0.858013	27	26	170	151	0
606	0.164015	0.434860	-0.715307	0.762998	352	275	170	151	4
607	2.722209	0.003242	1.795653	0.036275	89	69	170	151	4
608	-0.561253	0.712766	-0.526107	0.700654	54	41	170	151	0
609	-0.674435	0.750145	-2.125704	1.000000	200	164	170	151	1
610	-0.481877	0.685098	-0.460877	0.677594	89	49	170	151	0
611	-0.264287	0.604227	-1.330135	0.912177	18	16	170	151	0
612	0.958601	0.168880	7.804675	0.000000	10	2	170	151	1
613	-0.219626	0.586923	-1.984110	1.000000	12	10	170	151	0
614	-0.462496	0.678176	-0.637052	0.738083	139	116	170	151	1
615	-0.205833	0.581543	-1.294751	0.905698	10	10	170	151	0
616	-0.588127	0.721870	-0.483918	0.685823	186	159	170	151	2
617	-0.226858	0.589737	-1.895640	0.998619	14	11	170	151	0
618	-0.226605	0.589639	-1.364917	0.918343	13	8	170	151	0
619	-0.313050	0.622889	-0.829437	0.796967	16	11	170	151	0
620	-0.476203	0.683078	2.409561	0.007986	79	68	170	151	0
621	-0.555776	0.710893	-2.416977	1.000000	49	45	170	151	0
622	-0.427860	0.665653	-0.641455	0.739519	51	40	170	151	0
623	-0.186870	0.574121	-0.671024	0.749057	10	7	170	151	0
624	-0.255573	0.600866	-0.020298	0.508097	12	9	170	151	0
625	-0.205692	0.581488	1.221602	0.110929	15	14	170	151	0
626	-0.355076	0.638749	2.136392	0.016324	43	37	170	151	1
627	-0.272858	0.607526	-0.027553	0.510991	11	9	170	151	0
628	-0.234867	0.592849	-1.311606	0.908811	15	13	170	151	0
629	-0.556588	0.711171	-2.493829	1.000000	58	48	170	151	0
630	-0.677788	0.751213	-1.653962	0.963643	105	84	170	151	0
631	-0.653259	0.743348	-0.641070	0.739394	279	244	170	151	3
632	-0.198113	0.578525	-2.263882	1.000000	11	8	170	151	0
633	-0.099174	0.539501	-1.046258	0.853446	30	25	170	151	1
634	-0.440790	0.670350	-0.628945	0.735430	70	56	170	151	0
635	-0.365638	0.642700	-2.058425	1.000000	33	31	170	151	0
636	-0.387326	0.650764	1.271317	0.101808	60	50	170	151	1
637	-0.296952	0.616758	-0.371978	0.645064	34	26	170	151	0
638	-0.371871	0.645024	-0.497830	0.690748	81	67	170	151	1
639	-0.272835	0.607517	-0.125336	0.549872	31	27	170	151	0
640	-0.259022	0.602197	-0.476557	0.683204	15	14	170	151	0
641	-0.094174	0.537515	-1.052839	0.854995	20	18	170	151	1
642	-0.381857	0.648736	-1.324843	0.911222	29	24	170	151	0
643	-0.322616	0.626519	5.788839	0.000000	15	14	170	151	0
644	-0.826987	0.796268	-1.844938	0.991090	153	79	170	151	0
645	-0.266035	0.604900	-0.319305	0.625264	14	12	170	151	0
646	-0.422669	0.663759	-1.709580	0.971627	30	26	170	151	0
647	-0.261936	0.603321	-1.273880	0.901773	14	10	170	151	0
648	-0.465466	0.679240	-0.128547	0.551143	920	657	170	151	10
649	0.037595	0.485005	-0.624972	0.734125	188	136	170	151	5
650	-0.234280	0.592621	-1.522453	0.944103	15	12	170	151	0
651	-0.294338	0.615759	-0.836535	0.798984	305	220	170	151	6
652	-0.214072	0.584758	-0.983310	0.838139	13	10	170	151	0
653	-0.440229	0.670146	0.544397	0.293084	120	108	170	151	1
654	1.676349	0.046835	5.227495	0.000000	325	257	170	151	5
655	-0.364287	0.642195	-1.281468	0.903209	34	28	170	151	0
656	-0.226983	0.589786	-0.039275	0.515665	11	9	170	151	0
657	-0.430555	0.666634	0.743773	0.228507	78	70	170	151	1
658	-0.425198	0.664682	2.775397	0.002757	66	45	170	151	1
659	-0.320178	0.625595	-1.491474	0.939282	21	17	170	151	0
660	-0.368340	0.643708	-2.276272	1.000000	24	18	170	151	0
661	-0.287061	0.612976	0.423907	0.335817	30	26	170	151	0
662	-0.203369	0.580580	0.477512	0.316499	10	7	170	151	0
663	-0.201713	0.579933	-0.127692	0.550805	10	10	170	151	0
664	-0.230240	0.591052	-0.765804	0.778382	13	13	170	151	0
665	-0.299847	0.617863	-1.068331	0.858606	25	21	170	151	0
666	0.096102	0.461720	-0.813415	0.792373	57	43	170	151	3
667	-0.410120	0.659166	2.068259	0.019308	59	39	170	151	1
668	-0.510018	0.695035	-0.367458	0.643379	137	120	170	151	2
669	1.312834	0.094620	0.095273	0.462049	124	95	170	151	3
670	-0.395472	0.653775	-1.802945	0.984991	133	107	170	151	1
671	-0.276806	0.609043	-1.222325	0.891737	15	12	170	151	0
672	-0.195661	0.577565	-0.142339	0.556595	12	9	170	151	0
673	-0.204041	0.580842	0.548822	0.291564	10	8	170	151	0
674	-0.342966	0.634202	0.963052	0.167761	43	39	170	151	0
675	0.147875	0.441221	-0.280162	0.610331	16	16	170	151	1
676	-0.258546	0.602014	-1.771879	0.980528	15	12	170	151	0
677	-0.201151	0.579713	-0.129097	0.551361	14	10	170	151	0
678	-0.281290	0.610764	-0.294497	0.615820	27	24	170	151	1
679	-0.299478	0.617722	-0.523167	0.699631	16	15	170	151	0
680	9.541463	0.000000	1.597422	0.055086	34	25	170	151	4
681	-0.423812	0.664177	-2.258930	1.000000	42	32	170	151	0
682	-0.419421	0.662573	-0.251379	0.599245	328	196	170	151	0
683	-0.226972	0.589782	-0.483816	0.685787	29	26	170	151	0
684	-0.243404	0.596159	-0.329332	0.629060	18	16	170	151	0
685	-0.203187	0.580509	4.981128	0.000000	10	8	170	151	1
686	-0.340982	0.633455	0.135057	0.446283	15	14	170	151	0
687	-0.254116	0.600303	-0.829800	0.797070	413	353	170	151	6
688	-0.282914	0.611387	-1.506783	0.941677	27	23	170	151	0
689	0.219484	0.413137	0.103395	0.458825	49	41	170	151	3
690	-0.285319	0.612308	-0.101490	0.540420	21	17	170	151	0
691	-0.565710	0.714285	-2.040230	1.000000	65	57	170	151	0
692	-0.317929	0.624742	4.297099	0.000009	17	16	170	151	0
693	-0.323286	0.626772	-0.630082	0.735803	38	32	170	151	0
694	-0.237678	0.593940	0.500859	0.308235	10	6	170	151	0
695	-0.555186	0.710691	-2.394714	1.000000	57	49	170	151	0
696	-0.470941	0.681199	-0.851267	0.803134	45	38	170	151	0
697	-0.493005	0.689044	-1.700476	0.970325	41	37	170	151	0
698	-0.268603	0.605889	-0.093529	0.537259	34	31	170	151	1
699	-0.889427	0.813656	-1.345094	0.914853	161	120	170	151	0
700	-0.484968	0.686196	1.442135	0.074632	122	99	170	151	3
701	-0.310705	0.621998	-1.823842	0.988014	27	23	170	151	0
702	-0.378302	0.647416	-1.850362	0.991885	28	20	170	151	1
703	-0.200902	0.579616	-0.211176	0.583628	10	10	170	151	0
704	-0.373689	0.645701	-1.084505	0.862319	31	27	170	151	0
705	-0.431427	0.666951	-1.696514	0.969758	53	41	170	151	1
706	-0.333550	0.630653	-0.582828	0.720086	22	15	170	151	1
707	-0.340919	0.633432	-0.734577	0.768934	21	18	170	151	0
708	-0.274958	0.608333	-0.254383	0.600406	19	12	170	151	1
709	0.102804	0.459059	-0.421813	0.663447	27	24	170	151	1
710	-0.383545	0.649362	-0.372125	0.645119	72	59	170	151	1
711	-0.293988	0.615625	-0.647637	0.741528	38	26	170	151	0
712	-1.172599	0.881571	-2.389363	1.000000	518	362	170	151	2
713	-0.429167	0.666129	0.435053	0.331762	95	76	170	151	3
714	0.987849	0.161613	0.086948	0.465356	48	38	170	151	4
715	-0.331826	0.630002	-0.539653	0.705349	12	6	170	151	0
716	-0.311879	0.622444	9.114175	0.000000	11	3	170	151	0
717	-0.609414	0.728983	-1.038604	0.851632	81	63	170	151	0
718	-0.763135	0.777583	-1.631222	0.960346	111	79	170	151	0
719	-0.486312	0.686673	-1.751122	0.977560	45	32	170	151	0
720	-0.884086	0.812203	-1.957684	1.000000	176	95	170	151	0
721	-0.374365	0.645952	-0.660827	0.745788	23	19	170	151	0
722	-0.262243	0.603440	-1.335233	0.913093	11	9	170	151	0
723	-0.677564	0.751142	0.001923	0.499233	112	86	170	151	2
724	-0.377210	0.647010	-2.403564	1.000000	26	16	170	151	0
725	-0.773407	0.780650	-1.526109	0.944665	210	149	170	151	0
726	-0.299071	0.617566	5.187610	0.000000	13	12	170	151	0
727	-0.482802	0.685426	-1.064874	0.857805	51	43	170	151	0
728	-0.219672	0.586941	-0.982311	0.837889	11	7	170	151	0
729	4.088459	0.000022	1.349136	0.088647	251	208	170	151	9
730	-0.321054	0.625927	-1.582793	0.953226	46	37	170	151	0
731	-0.255554	0.600859	0.216795	0.414184	43	39	170	151	1
732	-0.291403	0.614637	-1.373393	0.919817	29	21	170	151	0
733	-0.206441	0.581780	0.301240	0.381616	184	149	170	151	3
734	2.713289	0.003331	-0.850358	0.802879	12	10	170	151	1
735	-0.338859	0.632656	0.296378	0.383471	28	22	170	151	0
736	-0.332678	0.630324	2.035081	0.020921	39	33	170	151	0
737	-0.212280	0.584059	-0.291566	0.614700	15	11	170	151	0
738	-0.386973	0.650633	0.848142	0.198179	93	83	170	151	1
739	3.718862	0.000100	2.712015	0.003344	64	51	170	151	2
740	-0.216760	0.585806	-0.164574	0.565362	25	24	170	151	1
741	2.254064	0.012096	-0.327962	0.628542	16	14	170	151	1
742	-0.241539	0.595437	-2.162992	1.000000	13	11	170	151	0
743	-0.482651	0.685373	0.072861	0.470958	33	29	170	151	0
744	-0.361010	0.640970	-0.825643	0.795884	16	9	170	151	0
745	-0.267555	0.605486	-1.206404	0.888535	26	19	170	151	0
746	-0.385780	0.650191	-2.019667	1.000000	80	63	170	151	0
747	-0.230886	0.591303	-0.140193	0.555747	88	76	170	151	1
748	-0.154756	0.561495	-0.182796	0.572524	33	29	170	151	1
749	-0.246256	0.597263	1.293361	0.097943	11	10	170	151	0
750	-0.426992	0.665336	1.346696	0.089039	74	62	170	151	2
751	0.450607	0.326136	5.608382	0.000000	25	19	170	151	1
752	-0.283643	0.611666	0.263466	0.396096	16	12	170	151	0
753	-0.223933	0.588600	-2.188465	1.000000	11	9	170	151	0
754	-0.280493	0.610458	-0.702652	0.759057	10	7	170	151	0
755	-0.204737	0.581114	-0.304808	0.619754	10	8	170	151	0
756	-0.447755	0.672869	-1.629860	0.960148	45	39	170	151	0
757	-0.427138	0.665390	-1.544063	0.947408	35	24	170	151	0
758	-0.216597	0.585743	-0.721293	0.764851	26	24	170	151	1
759	3.879613	0.000052	7.496436	0.000000	15	14	170	151	2
760	-0.367830	0.643518	-1.630330	0.960216	32	28	170	151	0
761	-0.404810	0.657216	-0.212961	0.584325	241	207	170	151	0
762	-0.234802	0.592824	0.110183	0.456132	25	24	170	151	1
763	-0.142309	0.556583	0.054971	0.478081	20	19	170	151	1
764	-0.342359	0.633974	-0.617335	0.731607	32	27	170	151	0
765	-0.364777	0.642378	-0.490288	0.688082	805	569	170	151	8
766	-0.238927	0.594424	-2.570393	1.000000	16	11	170	151	0
767	-0.274103	0.608004	1.466206	0.071296	27	24	170	151	0
768	7.814703	0.000000	0.825342	0.204589	14	13	170	151	1
769	7.637568	0.000000	2.504557	0.006130	15	13	170	151	2
770	0.336453	0.368265	-1.644102	0.962216	14	13	170	151	1
771	-0.268649	0.605907	-1.403044	0.924885	13	12	170	151	0
772	-0.306010	0.620211	-0.602671	0.726739	195	152	170	151	4
773	-0.242242	0.595709	-0.692852	0.755981	15	13	170	151	0
774	-0.277166	0.609181	-1.837461	0.989996	11	11	170	151	0
775	-0.272971	0.607569	0.025499	0.489828	32	24	170	151	1
776	2.316443	0.010267	0.367966	0.356449	68	57	170	151	4
777	-0.260391	0.602725	0.426051	0.335035	27	20	170	151	1
778	-0.198703	0.578755	-0.492404	0.688831	13	12	170	151	0
779	-0.290995	0.614481	-1.863194	0.993776	23	19	170	151	0
780	-0.189715	0.575236	0.360199	0.359349	25	22	170	151	1
781	-0.315946	0.623989	-0.387888	0.650972	89	78	170	151	0
782	-0.333782	0.630741	-1.313083	0.909082	69	55	170	151	1
783	-0.325508	0.627614	-0.668952	0.748394	18	17	170	151	0
784	-0.257237	0.601508	-0.384328	0.649653	121	96	170	151	2
785	0.260244	0.397338	-0.181427	0.571986	56	51	170	151	2
786	-0.305040	0.619842	-0.315445	0.623799	44	41	170	151	1
787	-0.295260	0.616111	-0.702255	0.758932	12	10	170	151	0
788	-0.510879	0.695337	-1.564733	0.950529	63	57	170	151	0
789	0.348597	0.363696	-0.973345	0.835634	30	27	170	151	1
790	-0.286769	0.612863	-0.374103	0.645855	22	18	170	151	0
791	0.569168	0.284621	-0.224204	0.588705	29	27	170	151	2
792	-0.194186	0.576988	0.645297	0.259367	28	25	170	151	1
793	-0.433037	0.667536	-0.965906	0.833751	94	81	170	151	0
794	-0.318228	0.624855	-1.532564	0.945655	53	46	170	151	0
795	-0.345772	0.635258	-1.471487	0.936114	21	20	170	151	0
796	-0.395742	0.653875	-1.755991	0.978256	30	24	170	151	0
797	-0.322746	0.626568	-1.026631	0.848768	49	45	170	151	0
798	-0.552501	0.709771	-2.327959	1.000000	56	44	170	151	0
799	-0.278781	0.609801	-1.289875	0.904788	17	11	170	151	0
800	-0.292219	0.614949	3.357499	0.000393	14	13	170	151	0
801	-0.265057	0.604524	-1.461864	0.934572	12	10	170	151	0
802	-0.663481	0.746641	-0.455771	0.675759	92	74	170	151	0
803	-0.340547	0.633291	0.488634	0.312551	17	14	170	151	0
804	-0.350213	0.636926	-0.164982	0.565523	32	29	170	151	0
805	-0.336886	0.631912	-2.456593	1.000000	22	18	170	151	0
806	-0.206470	0.581791	-1.146704	0.876080	15	12	170	151	0
807	-0.298916	0.617507	-0.331169	0.629754	31	30	170	151	1
808	-0.295668	0.616267	-1.626922	0.959719	15	15	170	151	0
809	-0.321770	0.626198	3.655815	0.000128	24	20	170	151	0
810	-0.257188	0.601489	1.907032	0.028258	17	11	170	151	0
811	-0.369911	0.644294	-1.349727	0.915674	22	22	170	151	0
812	-0.554244	0.710368	-2.458799	1.000000	51	44	170	151	0
813	1.468567	0.070975	2.179569	0.014645	25	17	170	151	3
814	-0.302898	0.619026	0.153312	0.439076	37	31	170	151	0
815	-0.322012	0.626290	-0.093475	0.537237	27	21	170	151	0
816	-0.307436	0.620754	0.047966	0.480872	33	27	170	151	0
817	-0.277141	0.609171	0.355140	0.361242	15	12	170	151	0
818	-1.022760	0.847835	-2.238291	1.000000	284	193	170	151	0
819	-0.257705	0.601689	-0.662714	0.746394	11	8	170	151	0
820	-0.223514	0.588436	-0.637909	0.738363	11	9	170	151	0
821	-0.428366	0.665837	-1.748983	0.977254	48	38	170	151	0
822	-0.254439	0.600427	1.927299	0.026971	15	11	170	151	0
823	-0.233840	0.592450	-0.185222	0.573475	23	22	170	151	1
824	-0.276202	0.608811	0.915406	0.179989	14	14	170	151	0
